fuckin'm transtelecom,Negative 
@kirsty_l I got excited when I thought that exhibit was in Sydney. But it's not,Negative 
Just got bullied by Dillah.  HELP!,Negative 
dam just finished watching Prison Break: the final break...omg i dont think i've cried so hard for a show..Finally understand the finale,Negative 
afaik A LITTLE SAD THAT CROCCOS IS NO LONGER AVAILABLE FOR SALSA WED NIGHTS. BUMMER!!!!IENJOYED GOING THERE WED NIGHTS.,Negative 
@irrationallogic Yeah daw. Awww...  Wear a mask na!,Negative 
Enjoying the sun with a heavy heart no depeche this weekend  no spending time with the man I love too double gutted,Negative 
"has a headache. wants to go out but doesn't think it's worth it, maybe, i don't know",Negative 
Is Sitting Alone In A Very Quiet House !,Negative 
"I'm up. getting ready for skill. can't wait to fail my bio final yay! ugh, honor classes suckkkk.  ):",Negative 
The doggy is sad  cheer up Jessie!,Negative 
@paulshadwell Thanks for trying! Done just that and no good  If I can't fathom it I'll take it to Apple Store. Sigh...,Negative 
im sick and sad its cold,Negative 
"It's a beautiful day outside today, shame I'm stuck in the office with the blinds shut to stop glare.",Negative 
Why am I always the one on time. They are always late. I wanna sleep. I miss Mere.,Negative 
@RedMummy And it's such glorious weather too - poor you,Negative 
Never has a 2pm finish looked so enjoyable. Pity I'm teetotal for another week,Negative 
Wide awake and grouchy as fuck.,Negative 
i keep coughing my guts up,Negative 
@lucyburchell sorry we didn't get a chance to chat at #screengrab09. Caught glimpse of you across room but was dragged home prematurely,Negative 
@torilovesbradie last thursday or yesterday that sucks i missed it  was it at lunch time ox,Negative 
@pntbtrkisses I agree with @Dog_Crazy it's not worth it - block them &amp; let Twitter police know about harrassment.,Negative 
@dannymasterson Miss you in that 70s show!!!!!!,Negative 
home alone and no one left me any gummy bears,Negative 
Why did I agree to work on this gorgeous day?,Negative 
@sixjaw i can so sympathise with that,Negative 
wished didnt spend money last night,Negative 
"@_supernatural_ http://twitpic.com/6695k - hhaha, now i wanna cry too",Negative 
"I don't feel well. I feel like i could throw up, and my throat hurts really bad! Sad day",Negative 
"made dentist appointment. 9th of June. feel sick and nervous already  However. Ibprofen, Paracetemol and Codeine are my friends. *sigh*",Negative 
Off to work now apparently sun shining not a valid excuse to stay home,Negative 
i am living in ignorance  :@,Negative 
Not made it to work  couldn't get up feelin blurgh,Negative 
Such a nice day today but stuck indoors revising  3 weeks and it is all over!!,Negative 
"Loving the weather this weekend, shame i'm back into work tomorrow",Negative 
i have the bigggest headache,Negative 
awe.. gotta go.. my mom commands me to sleep already..,Negative 
Hulu Desktop looks nice but not for my region,Negative 
I knew I shouldn't have confessed to using phone to look up answers in pub quiz. A shame is now upon me,Negative 
Have been rolling on the bed for the past 2 hours ... Still unable to sleep,Negative 
I had a bad dream an now i cant go to sleep   KEILIGIRL254,Negative 
I can't sleep without him nearby,Negative 
@BrodyJenner i live in manchester england but still have never been to london,Negative 
@RedBaff I have popcorn and fruitcake now...but it's just not the same as Chocolate,Negative 
@zachsang when nina picked up my call lastnight i didnt know she was talking to me and i like totally didnt answerr,Negative 
LAST DAY in St Andrews.. i will spend it on west sands! and then packing,Negative 
Got three shots today.   I can't lift my arms...,Negative 
its too early  i wanna go back to sleeep,Negative 
"feeling very stressed and strung out, awake at 4.50am, mind buzzing... and Mrs Dr. A is not talking to me",Negative 
"@Ste1987 Feel your pain with the hayfever - forgot to take mine yesterday, again.",Negative 
Can't believe ER is over,Negative 
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",Negative 
@dublins98dave me too! I am down 400 euro,Negative 
"@AdamBien good luck. An me waiting that they are online, can't be in #JavaONE this year",Negative 
"Dagnamit, latest power twitter update is pants - no clickable links",Negative 
"Tired, tired, tired.. Didn't sleep well last night..   Thought too much.. Slept not much.. Glad that it's almost weekend!",Negative 
Devon has caught and ate a fly. I dont know why she swallowed a fly. I guess she'll die.,Negative 
@Karina_Escobar some people seem to be getting over it pretty quick  and the guys to me didn't seem to care,Negative 
My friend went to New York without me and all I got was this picture of her and Will Smith  http://twitpic.com/669l2,Negative 
my head hurts,Negative 
@James_Phelps I was sad yesterday..1 of the guys from my fave band quit the band  and they replaced him,Negative 
Finally. Deleted her number from my phone contacts  #heartbreak,Negative 
@gfalcone601 ohhh ok. thats upsetting  sorry for wasting your time. xx,Negative 
@spotibot I am afraid you've had a bit of a #fail as the last two recommendations aren't available in the UK,Negative 
@BeckyBuckwild Omg Beckky i love you! you should've won the 250G's  i was rootin for you.. hows things going?,Negative 
ahh yes the obligations of a vampire kept me away from twitter.but now i'm back &amp; will try 2 update as much as possible.i lost a donor,Negative 
@chescaaaaaa  yeaaaahh.,Negative 
@JackAllTimeLow I wish I could go to your melbourne show but my parents won't let me  *cries*,Negative 
"I had a dream that I went to Evo fest, but I didn't.",Negative 
i m totally confused and bored.. my life must change!!,Negative 
@christineknight Poor love  Hope you get to relax somehow on the weekend.,Negative 
@lesley007 Morning Lesley...ya making me jealous,Negative 
waiting for someone's SMS. it's been weeks and nearly a month  :?,Negative 
I wish i could sleep past four a.m. on my nights off  good morning!,Negative 
Want 2 transfer my Naini trip pictures 2my comp so I can upload thm on web bt i dnt hv my USB  Snt few via multimedia @ 5 Rs/pic. Expnsiv!,Negative 
@gemmak500 Know exactly what you mean  I've lost too many friends. I do feel for you all,Negative 
I am such a worthless person. No one i love loves me back the way that they should.,Negative 
"@AubreyODay  Aubrey, i know i speek for a lot of fans when i say we miss seing you on T.V. I hope we will be seeing you again  ...",Negative 
i dont like funerals,Negative 
So guttered that Ruby got eliminated from NZNTM..  I'm all about supporting the locals. Haha. Hosanna better not win..!,Negative 
I miss my wacom. Especially the mouse. Laptop touch pad is horrible,Negative 
is on twitter for the second day running. This is what study leave does to me! If only my car were in one piece,Negative 
the day goes on and on...i think im gonna write a song about it! still thinking itï¿½s impossible for me to get a true friend  why????,Negative 
"@C_J_Stuart Unfortunately not yet, I am still without licence.",Negative 
@Eminem can't wait for that!! recently bought metallia guitar hero but cant play it coz my sony tv went kaput!,Negative 
@ShesElectric_ i'm in bed sick atm-been sick since yesterday   hru hun?,Negative 
@EPMorgan I know!  I can read bt I can't sit outside coz I gota answer the phone,Negative 
"@kev_watson   Sorry address was wrong. where I put samuel in the address, it should be just sam. I am having a stupid brain day today.",Negative 
"@ShaneSakata Hi Shane, that link doesn't seem to work",Negative 
I can't get to bed,Negative 
rain got so big weather so cold right now,Negative 
tonight was a very bad night,Negative 
@kaliie i'm sorry but LOL! what is this about? waitt... you think your mum would still let you do bday stuff this weekend?,Negative 
@Loulou_de_B You have to email her - she only gets what people want in so they aren't on the site. Shame about the trousers,Negative 
@RedBaff alright - was only joking - I just said no wine here  - fool me maybe? - I don;t like drinking,Negative 
@msalonen I can't get it to load.  And I wanted everyone to see my &quot;Bette Davis Eyes&quot; remix video today. boooooo,Negative 
@bagginsboy oh yes. There was no feasts left,Negative 
can't wait to see marco later; not feeling my best,Negative 
Dangit! I just got my Kiss Album in and it's the wrong color.,Negative 
RIP Robin from the Washington Park library,Negative 
@JaylaStarr  I guess you are not interested !!,Negative 
@KIMP19 I know...  it's already been two weeks!,Negative 
"School is going to be absolutely horrible today. Peace out, '09",Negative 
@BrianLehrer  The ONE day I want to listen to you live and the stream is down  Enjoy you on podcast ALL the time.,Negative 
Driving to work running late like always..... No time for starbucks,Negative 
a dog got hit by a car in front of jamies house,Negative 
booo Dario let TK get a hair cut,Negative 
today has not started out very well,Negative 
"@onlyme614 girl yes, as if having it where you CANT see it wont gross enough",Negative 
Working!!! Still sick,Negative 
I forget how much I miss my tribe til I have limited access to talking to them. Spotty internet in the country so I won't be here long.,Negative 
its my last friday of my high school years!,Negative 
Is sick today,Negative 
"@Smileyquanta oh, is it good? I've been wanting to watch that movie but nooobody would watch it w/me",Negative 
@KristinHolder aww i'm sad  i didn't get to go to your going away party!  stupid work!,Negative 
About to go to my last theater lunch  im gonna cry.,Negative 
"I am writing the most boring part of my paper. Hmm. The sun is shining and I do not feel like working on this, however I have to",Negative 
"@taylorswift13 soooooo wish i could, but im in school and myspace is completely blocked",Negative 
@WerewolfJacob Thank you for the shout out..when you get time to chat with me come back! I miss you terribly,Negative 
wow.. tomorrow and then it's over. i'll never see some of those people again. it's kind of sad.,Negative 
HES BACK!!!!! OH NOES!!!! have you missed me?  Work has been insane and the band has really taken off so i haven't had a moment to myself,Negative 
i never get any followfridays,Negative 
@xkaraxcupcakex  I'm sorry. This is all so sad.,Negative 
"@Laura_McKay2009 sadly no, sitting inside as mobile signal won't work in the garden   I'll be opening the wine at bang on 5pm though!",Negative 
@xjaded25x not helping!,Negative 
Stuck in office till 5. It's so warm outside,Negative 
"@dwhelan I've wondered about rake to.  The client has made it clear .NET only, don't force devs to learn a new lang  #agile #ccnet",Negative 
Oops spent too much already lol 50 quid gone,Negative 
"i've been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",Negative 
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",Negative 
@apostropheme i'm a real BOY goddamit!!!!!!!!!!!!!! guh. apostro. i feel sad. the library lady thinks i'm stupid. SHE'S STUPID.  j,Negative 
Where's  poss   i miss him,Negative 
I'm at my saddest right now. I lost my mobile phone earphones. Waz feels a little incomplete and I feel the same,Negative 
if i wasnt workin in 5 hours id be gettin ratarsed to the point where i couldnt even see let alone stand up...THAT is how shit i feel,Negative 
@streetztalk physics  the most boring class ever!,Negative 
"@katcal i'm relying on my mobile, which lacks reception. Trying to help, but just looking silly",Negative 
@lewace11 that sucks man,Negative 
"Grew fat today  GSS was so hxc I saw a full house Chanel, JC, Pedder Red and Ferragamo! How great is the economic downturn.",Negative 
No more mrs. reilly,Negative 
"Wah, my fav whattaburger location is closing on the 31st. Damn. Good thing I'm moving.  Damn  Mon/fri won't be the same",Negative 
Gotta go now .. i'm going to Circus .. the real Circus not Britney's Tour  sadly ..,Negative 
need some Pizza...can't get out of office,Negative 
@mycaricature My pleasure and sorry to hear about the pollen thing,Negative 
@claireyjonesy LMAO i want him to reply  booooo you @tommcfly REPLY TO ONE OF US lmfaoooo,Negative 
@Tiffany_in_VA I'm not getting your updates to my phone  I'm trying to figure it out but it makes me sad!,Negative 
Is home from MARCO ISLAND and missing it and my girls already...back to work!,Negative 
i only hav 8 followers                 !,Negative 
oh...my foot's hurting now. About 5 minutes after I took it out though.,Negative 
not feelin so hot,Negative 
"My anticipated meet up with Tapan Parikh is no more  apparently he wont pass by Nairobi, and will head straight from Mombasa",Negative 
@davidtreynolds but but but. I want steak,Negative 
Parents decided to drop in on their tour-de-US. The whole family is at my house. I am at work,Negative 
@Rainbowcentre No  sadly its not  bit disappointed will try again later see if i change my mind,Negative 
i cant hear anything outta my left ear,Negative 
At work  oh no it's the first day of monthly visitor ahhhhhh,Negative 
Anotha day of work  not lookin forward i hate closin fri,Negative 
@mgiraudofficial  i'd give anything to be there. too bad i'm in tennessee.,Negative 
this hot day is making me tired,Negative 
@AdInterim Still jealous,Negative 
@kevholditch It's NOT good.  1 of our directors said we could go home and the other said back to work  boo! It was good while it lasted.,Negative 
My stomach hurts so bad,Negative 
I dont wanna get out of bed i wanna go back to sleep.. i have to open the store at work though,Negative 
@TheReal_RedBone stop that babe u makin me feel very bad now! :/,Negative 
Sick kid trumps advance planning.  Bummer,Negative 
@Sweena ... so I can't charge you by the hour then?,Negative 
@Pharriell nothing  let's stay quiet together. ps: did you cry?,Negative 
So effing tired  http://bit.ly/e0ZFz,Negative 
Only four hours and fifteen minutes until three day packing spree!!! Ugh work,Negative 
@benjamin_cook you make me sad. Why do I like in canada? I can never watch these things. I should move. Know anyone who needs a roommate?,Negative 
@SuFiGirl35 well that's no way to start the day off !!!,Negative 
Jus back after watching Night at a Museum 2......would rate it 5 on 10,Negative 
Didn't bring connector for camera on trip...saving new photos will have to wait another week...,Negative 
Its so sad,Negative 
@mixxxonn we watched the today show(: we didnt see you though,Negative 
Have spent half of the day troubleshooting something that wasn't even within my control. Clusters doesn't always mean high availability.,Negative 
I have a headache. And I have nobody to keep me company.   _wants.to.be.a.kidd.again&lt;3,Negative 
I think I may cry. I just sold my 97 civic. Its no longer mine.,Negative 
I hate when you cant sleep,Negative 
"@aianna21 @nandiaramos Sadly not, no. They're his colleagues and it's a work party",Negative 
"@JonathanRKnight I wish I was there.I've just moved from San Diego to WA and I'm very depressed, I miss sunny San Diegoooooooo!!",Negative 
just got off work.... working night shift at the hospital 12 hrs a day is starting to get to me...,Negative 
is really wishing you would just let me go and let me fight this on my own...i'm tired of feeling like shit because of you!!!,Negative 
didnt do my devos...  hopefully my day doesnt suck because of it.,Negative 
Havnt gotten any in months  my ex seems into dating but there isn't that spark anymore  still in love with loser who left me,Negative 
@pistol62 Is the Bee to Busy to talk to his buddy on Yahoo?,Negative 
has work to go to.,Negative 
Getting into the swing of things. I miss someone,Negative 
Ughh none of my apps are working !  phone why do you hate me !,Negative 
Work...,Negative 
@Kay26 *sigh* me miss them days !!,Negative 
New issue of @olivemagazine in the office...desperately want to flick through but have so much to do. It'll have to wait,Negative 
"@JonathanRKnight actually, I wish I was back in Tahoe.  I miss it there.",Negative 
mcdonalds mccafe tastes like chewin on a cigarette butt.  I miss my sonic card,Negative 
@marvelvscapcom doesnt work already,Negative 
@epiphanygirl i am so upset i didn't get tickets... 3 of my all time FAV artists at one venue,Negative 
"is upset, I left my phone at home again",Negative 
@AsiaRain22 @ the expensive of their workers welfare  other than that they are the shit !,Negative 
Checking out Ciege Cagalawan's S/S Collection and I am regretting that I did not see his collection tonight  I got invites!,Negative 
"I didn't get the job at Stuff Magazine  Dammit, that would have been amazing!! Oh well.",Negative 
@DinoB937 ask mark if he still has that old blink sense of humor!! i miss it,Negative 
going out on thursdays is a terrible idea. i knew there was a reason i haven't done it all quarter. *pops advil*,Negative 
is exhausted.,Negative 
"@RetroRewind i have to wok a nite shift tonite so will miss it  please DM me, i promise i wont tell anyone else ;0) !!!",Negative 
@althearicardo: 3 hrs to go pa ako,Negative 
Field day is sad. No ribbons for me.,Negative 
@jasondjkim i knowwww.. i cant deal. this 9-5 life is not for me,Negative 
@kjNYC it's depressing,Negative 
Have $#@&amp;!!! Malware on my work PC!  I miss having an IT dept,Negative 
At work... What a miserable day,Negative 
I feel like such a failure this morning,Negative 
Finally finished exams &amp; home not watch Otalia &amp; the PBP on BPD - no Otalia today  hmm! via http://twib.es/COP,Negative 
I think i need some new friends,Negative 
Finishiing up the Training Exercise in New mexico..  Not looking forward to the 19 hour bus ride home this weekend.,Negative 
@1capplegate still sad about Samantha Who?,Negative 
a bird flew into window at my parents house and snapped his poor neck. gotta bury him,Negative 
looking out window is depressing it is so beautiful out and I am in here,Negative 
@iAlejandro Aww I thought you forgot me last night. I was  I hardly have my twitter on my phone so just text me in the evenings ok?,Negative 
"Sry but other day tweets were MIA - twitter network glitch, but story was re: funeral mix-up, as in wrong remains delivered to ea.",Negative 
might have to go back much earlier than expected. bye bye bay area,Negative 
Covering for @grnturtle its slow today &amp; lonely,Negative 
@macmuso not in Hobart sorry,Negative 
"@JerryAZ most definately! They are having a hard time, cuz I'm so young &amp; never saw this, but I wrkd hard making cars &amp; now I'm disabled",Negative 
None of the people I talk to in my P.E. class are here  I'm going to be so bored all period.,Negative 
"@kellykfog Totally unsurprised that Dave isn't coming back to 10@10. But Annalisa is wrong for it, opposite of big warm mellow Dave.",Negative 
why doesnt he want me anymore,Negative 
"If Hamilton gets a hockey team, I really think the name Hamilton should be in the team name. If not, I'll be sad.",Negative 
binstruct suffers from an update of the mib package... and the developer of that package is on holidays,Negative 
@GarethCliff my heart hurts for them. Imagine how shit their skin will be when they're twenty from all the stuff they smeer on it. shame,Negative 
I think my computer is sick,Negative 
@jessiemayumi Shame about your job  have you thought about working for yourself?  there's big money to be paid http://bit.ly/1864ml,Negative 
@DonnieWahlberg I'm not feeling very inspired today...I was suppose to be @ the B'ham concert tonight!,Negative 
@JonathanRKnight welcome back! I'm stuck in jury duty today.,Negative 
This weather is awful! I just want to curl up and read a book all day,Negative 
@NacMacFeegle Sad to see...despite my being glib about it,Negative 
@TheRealScarab and this is better 4 me than a snickers bar or hersheys w/almonds.... which i use to b addicted to b4. i miss them  LOL,Negative 
@Sadandbeautiful That sucks about your prints. Sorry,Negative 
has the day open until 4. don't know what to do. everyone is leaving today,Negative 
Watching Scrubs season 2. Oh I'm gonna miss that show,Negative 
Not a happy bunny,Negative 
@kiddshow @deviantlysweet @causeimrossome still no shout out for Spider,Negative 
Its time for me to pack up at work now and have not had much time for twitter!  Thank you for any follow fridays. Be back later!,Negative 
@Doonytime I have no Minstrels   I might have to grab some from the petrol station before I head back to work.  They are delicious!,Negative 
Hope ur all havin a nice Friday! Been feeling down this past week since my dog's passing...,Negative 
"*sigh* my @ubank USB died on my this afternoon. R.I.P, you will be missed! I hadn't even had the chance to parade you around yet",Negative 
Anyone ever had that heavy feeling of sadness in their hearts? Thats my case rite now.,Negative 
Lmao i come on mad replies im like damn im missed ... Damn follow friday lmao so im still not important or missed,Negative 
My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,Negative 
Wants to go sit in a park but should really be painting the bathroom,Negative 
going to funeral today for friend and classmate who died in a car wreck last Friday,Negative 
whenever it rains it's so hard to get motivated,Negative 
I wish yesterday was Friday,Negative 
":O Looking through my old stuff and found a record from my old band! Well,a band that I was in for about a month. Ever heard of  ?",Negative 
"going to eat with my aunt soooon, not getting ready just changing.   i hope today is a goood day  idk i miissss himm",Negative 
@CEO_INTHEMAKING :aw,Negative 
The CD  player in my car is broken.  So much for listening to my Kidz Bop Happy Meal CD.,Negative 
bored well its not like any one can see this i havent got any friends,Negative 
(@zachflauaus) Note to self: never ever leave the MacBook Pro on the stupid iCurve. It fell off.,Negative 
feels not good at all,Negative 
Last day for seniors bye bff,Negative 
@HilaryKennedy i would share mine. but i have no hair,Negative 
"W4M: No clever headline, Sorry  (Salt Lake City) 29yr http://tinyurl.com/mpoghc",Negative 
Happy Sammy is going 2 here 2morrow!! But unfortunatly I'm not gone be able 2 go 2 the club he performing @,Negative 
"just woke up, its laura's last full day here  Last night we watched embarrassing home movies",Negative 
"Heading to the gym.  The group of guys that USED to go with me has all quit...well, except for Brandon.   Makes me terribly sad",Negative 
Nothing like yoga to clear the mind and make you realize how crappy things really are,Negative 
GAWD!. If only that dream actually happened last night....,Negative 
last day working for Tend,Negative 
"my ipod came back to me after visits to cali, china, and alaska...but its at home and im @ work...",Negative 
is *ugh* what a miserable looking day. 54 degrees. Where did summer go?,Negative 
spent all morning watching Eddie Izzard's Glorious! SO funny... realli shud hav studied thou...,Negative 
gutted!!! vodafone wont repair my faulty Samsung Omnia due to non existent water damage  grrrrr,Negative 
Just started raining in earnest... guess golf is off for today...,Negative 
"pff, Life sucks sometimes!",Negative 
http://tinyurl.com/nqudrt - Hurt my finger at work,Negative 
"http://twitpic.com/61ov1 - @martinhiggins  i ahte stress, its supposed to be friday! it makes me wanna cry",Negative 
@lilabiem awww  don't do this to meee haha now you're gonna make me saddd,Negative 
You know that 'rule' that says always point the knife away from you? Just  learned my lesson on that one! Straight through my finger!,Negative 
I think my cheap sunglasses are falling apart. Oh well,Negative 
getting bored of walking up and down the stairs,Negative 
@Juicytots you getting a ton of spam mail into your inbox?? I am too.... driving me insane!!,Negative 
"I'm officially on holiday! A week in Center Parcs, no internets  bye my peeps, see you when I return...",Negative 
@ozzblair  hugs for the bad day you're having?,Negative 
"NO! Keyboard Cat is/has been dead for YEARS! Play yourself off, Keyboard Cat.",Negative 
I'm feeling very alone at the moment   Mh..I'm going to leave now.,Negative 
im gonna fail this test miserably in history,Negative 
Back to reality... boo,Negative 
#asylm yay registered but lost all my friends,Negative 
good news: my flat is great at regulating temps. in the heat. bad news: its sodding lovely outside and i'm working!,Negative 
All the people I talk to are GONE,Negative 
@1outside a jo; tak nic no,Negative 
@woodywoodford unfortunately I didn't leave the house in time,Negative 
"Overslept. While the extra sleep was nice, it does play havoc with the days to-do list.",Negative 
Getting my phone taken away,Negative 
My cat has been missing for 2 days. I am freaking out.,Negative 
all my worms either escaped or died  bums!,Negative 
Dam only 5 votes  not gonna win anything now,Negative 
I'm sick!  it sucks! IM me! ohbabayy33,Negative 
Just Finished My English Final...Just One Step Closer To The End.,Negative 
"My leg broke, now I am waiting untile i can go again",Negative 
@forgetmaine there's a 9 year waiting list to get an appointment.,Negative 
Bummer... I missed Taylor Swift on the Today show!  Those were my only plans for the day!!!,Negative 
should not have waled past the Quad! I want to be outside having fun.,Negative 
@HBSExecEd that was the class I was keen on. Guess I have to wait for next summer. bummer.,Negative 
"@Visadharah I'm still at Disney (just trained at Soarin), Rose is the same, we applied for an apartment last night, and Eric lost his job",Negative 
@SeanLights Nooooo!!!!! Dont You Dare! Lol =( Im Gonna Cry  I &lt;3 Your Hair!,Negative 
another rainy day,Negative 
@TheCubs Cubbies at an even .500. So what else is new?  No matter: Beat dem Bums! #chicago #baseball,Negative 
"@evonmichelle It's my mum's. LOL They haven't got me anything yet.  Sad, Sad... haha",Negative 
"@Wizardess I got a coupon, but I couldn't register it because you have to be in the US",Negative 
"horrible dreams last night  also had one in which i was employed...sigh, if only.",Negative 
"Sorry if I'm unsociable I'm loading up stock in the shop, mums making me",Negative 
Traffic jams are rubbish. Anyone know what's going on on the A48 between Cowbridge and Cardiff? We're stuck both directions,Negative 
"another gorgeous day here in Pau...will be home this time in 2 weeks though, such a depressing thought!",Negative 
Good Morning Folks 13 more days to go! and sadly 2 more days of the Giro  but that means the Tour is not too far away,Negative 
"Drop the girl she's only got it for your heart she's sure to leave broke and bleeding, and you know she'll turn her back on you.  I lo ...",Negative 
@billbathgate ....any  sorry wahh!! lub u toooo ;),Negative 
@LuvinMeSomeD That's how it was for me in March...it came sooo slow..then it was over in a heartbeat,Negative 
Finally back from the stupid holiday ! Missing the fit bar men though,Negative 
@GavinHolt i wish i was outside,Negative 
"ooh@LuLu_Bell whatchu goin as? Monsterpalooza's this weekend for us.  on the no Ink, i won't be a stressed contestant this year! Miss U X0",Negative 
@bimbler I have too much work to drink now.   but I do love afternoons in the pub.,Negative 
i got ill and tomorrow iï¿½ve got birthday...,Negative 
@jimmycarr I've been sat sunbathing in the bombed out church all day and left and missed you,Negative 
watching chicago. @bambamonline honeyyyy im with you I miss me some hey arnold! and wild thornberrys,Negative 
Congrats to ALL Graduates! Such a Beautiful thing &amp; Big DEAL! I jus wish i cudve attended My lil man Ryan kdg graduation  Feel verY SAD!,Negative 
@SoSimplyMe. I'm sitting here with this girl that urk my nerves damm yo,Negative 
"well,only one week left of my holidays,sad sad",Negative 
"@AndresHenriquez thanks for the #ff shoutout -you stuck an extra e in my username tho, so the link doesn't work",Negative 
MY PUFFFFY IS LEAVINGGGGGGG  NOOOOOOOOO,Negative 
@izzyvideo Izzy!!! So sorry to hear that - what a disaster,Negative 
Rainy day today.  No car so we're stuck in the house   I needed to go to the post office too...bastards,Negative 
thanks gourmetcook! But cold shower wouldn't help.,Negative 
@katieeeian143 you're missing the devil wears prada!!!!! sad...,Negative 
My hairstylist left the salon without telling me where she was going.   Damn!,Negative 
"TGIF, too bad the weather sucks...",Negative 
@skoosie probably not. I hate when that happens!,Negative 
PSA::::: Being that I've been usuing twiddict- my last 14 tweets have yet to show on the bored. Bare w me.,Negative 
Just paid my bills now I have no money,Negative 
@pampian I want to know who is that ??.6  I tried to ask P'KIA but he still not reply me  but now he change his status to 'away',Negative 
"Warhammer 40k: Space Marines 'officially' announced, only for 360 and PS3.  No luck for PC gamers",Negative 
@JoeWitless more nightmares?  *huggles*,Negative 
ugh back to work today,Negative 
I hate being young,Negative 
"@RichardMadeley Oh, final msg - Why didn't you review my boardgame Bookchaseï¿½ when you were on telly? We didn't even get a nice letter..",Negative 
Field day.... Gt class...not winning...,Negative 
loves florida but misses her american friends,Negative 
"michael scofiled Noooooo !!  I hate the writer, director n production",Negative 
@1Shan no sir...i woulda put honey...but i don't have any,Negative 
@YankeeGirl20 besides I haven't had strep for like 10 years because of that reason. I'm more tired than anything else,Negative 
darn it. I did it again.!  keep forgetting that darn &quot;D&quot; for DM's.....,Negative 
@jaceypants well piss on that. I can't get into their site @ work nor does it come thru on my phone.,Negative 
@CinemaChic I have the most failures using Lacie drives,Negative 
@AsherUK i wanted to go for my birthday...,Negative 
@omarjdavis lolol...i was trying to do that this morning but sadly i couldnt,Negative 
Another long walk in the heat... I hate this...,Negative 
"Spyed Princess Anne today, and listented to all my friends cooking up the perfect evening, Working sucks for me and OB ?",Negative 
"just watched devil wears prada, and i want to live in new york city more than ever. why must i be so poor",Negative 
@Jamjar84 that's mean of them!,Negative 
@acmaurer No wonder I didn't get into Urbana,Negative 
I ran out of Eclipse mints,Negative 
@pennynash I was scared by the Daleks in the DW Exhibition in Cardiff.,Negative 
I ran outta bathroom passes.  maybe mrs. French will be nice today?,Negative 
"for all the effort and time put into some of these relationships with people, you learn enough not to trust anyone...",Negative 
@faulko1 i'm watchign the garden from the window...far too hot for me,Negative 
I slept so late,Negative 
...aw i want classic burger.,Negative 
i always feel last.,Negative 
@CostaVidaFred awwwwww sorry we're going to miss you!,Negative 
@kirstiealley So you wouldn't reply to my gorgeous hot pink shoe then?,Negative 
Okay I lied! I meant this time next week! That is sooo much longer!!  I miss my mommy...,Negative 
"on the way home , no sleep  makeup and pedicure then graduation ceremony",Negative 
@Debut_Steve yes....but now I'm not going to be paid to be in the pub,Negative 
@deegospel Hey Dee... I wish I could make it to the mastermind session tomorrow  I'm in a wedding in Statesboro. hope to chat soon.,Negative 
wishing I got fij,Negative 
@getape I had bad net issues on Weds so couldn't broadcast  Am on tonight tho... tune in for new anthems and bad mixing!,Negative 
Someone stole my new laptop at the airport. haven't even used it. Guess the US economy is breeding a new set of &quot;opportinists&quot;,Negative 
is tanning with emily! too bad its prob gonna rain,Negative 
I think I have hayfever. Not sure due to wearing next to nothing in horrific weather on wed.,Negative 
"@kiso666 omg!!!! I feel bad,  .Was it good?              ;",Negative 
"Lunch time! Feeling really odd today, generally not great",Negative 
Shopped til i dropped....come bac sunshine i miss u,Negative 
@joeburkel Looks like they dialed it in a LOT...payed attention to all the small but important details in gameplay...still no blood tho,Negative 
@krist0ph3r Anything for @sgElectra. So sorry man  I am not a patsy generally...,Negative 
@Enchanted_Myst I am soooo disappointed that that is what he looks like btw! The image is gone,Negative 
"Once again, I'm dealing with cancer in my direct family. Bugger  Cancel sucks!",Negative 
@KillzoneDotCom  tis a sad day,Negative 
My stomach effing hurts. Sadly there'll be no gym class this afternoon,Negative 
@lestockdrop i wish i was there too,Negative 
@faizis i wish for kiau to go cat heaven too. and meet my seuss,Negative 
@SteveChaiGuy Your Steve Chai sounds awesome. *wishes she had one now* But I'm stuck with: Idon'tknowwhatdamnbrandcoffeethisis,Negative 
Cab is so slow so I will probably miss the first beer...,Negative 
I AM SUCH A CREEPER  I feel disappointed because of it. Damn my cyberstalking skills   the internet = no more privacy.,Negative 
@tinogomes @MarceloN passed away,Negative 
in school w. linda doing nothing  ;i miss you,Negative 
Just got up thinkin about how weird it is w/out our dog,Negative 
@TeeRibbzz noo.. U dont even know how upset I am right now..,Negative 
"Well, @suzylake I discovered I can't swim.  I'm out.  Sorry",Negative 
@gaspsiagore &quot;stunningly beautiful&quot; and &quot;new piece&quot; don't usually go together. Wish I could go,Negative 
shares I miss my niece and nephew. http://tinyurl.com/mrgqdc http://plurk.com/p/x1ap6,Negative 
Experiencing pain with paginating ASP.NET ListView controls,Negative 
i dont get it,Negative 
Sorta needs to somehow forget that its E3 in LA practically during my ethics exam and self-imposed revision time.,Negative 
"Beyonce helps me through the day, I'm starting to get sick",Negative 
Oh my poop. Stupid Twitter won't let me put up a new picture.,Negative 
